type,GEOID,racial_majority,month,filings_2020,filings_avg,last_updated
Zip Code,23221,White,23-Feb,9,12.5,4/8/2023
Zip Code,23221,White,23-Mar,11,9.75,4/8/2023
Zip Code,23221,White,23-Apr,1,0.25,4/8/2023
Zip Code,23222,Black,20-Jan,159,147.5,4/8/2023
Zip Code,23222,Black,20-Feb,100,116,4/8/2023
Zip Code,23222,Black,20-Mar,67,101,4/8/2023
Zip Code,23222,Black,20-Apr,30,108.5,4/8/2023
Zip Code,23222,Black,20-May,26,132.5,4/8/2023
Zip Code,23222,Black,20-Jun,21,150.75,4/8/2023
Zip Code,23222,Black,20-Jul,60,126.5,4/8/2023
Zip Code,23222,Black,20-Aug,37,142,4/8/2023
Zip Code,23222,Black,20-Sep,45,117.5,4/8/2023
Zip Code,23222,Black,20-Oct,37,126.25,4/8/2023
Zip Code,23222,Black,20-Nov,29,154.75,4/8/2023
Zip Code,23222,Black,20-Dec,11,93.5,4/8/2023
Zip Code,23222,Black,21-Jan,14,147.5,4/8/2023
Zip Code,23222,Black,21-Feb,8,115.75,4/8/2023
Zip Code,23222,Black,21-Mar,24,101,4/8/2023
Zip Code,23222,Black,21-Apr,5,108.5,4/8/2023
Zip Code,23222,Black,21-May,15,132.5,4/8/2023
Zip Code,23222,Black,21-Jun,7,150.75,4/8/2023
Zip Code,23222,Black,21-Jul,31,126.5,4/8/2023
Zip Code,23222,Black,21-Aug,23,142,4/8/2023
Zip Code,23222,Black,21-Sep,9,117.5,4/8/2023
Zip Code,23222,Black,21-Oct,10,126.25,4/8/2023
Zip Code,23222,Black,21-Nov,12,154.75,4/8/2023
Zip Code,23222,Black,21-Dec,12,93.5,4/8/2023
Zip Code,23222,Black,22-Jan,13,147.5,4/8/2023
Zip Code,23222,Black,22-Feb,18,115.75,4/8/2023
Zip Code,23222,Black,22-Mar,21,101,4/8/2023
Zip Code,23222,Black,22-Apr,23,108.5,4/8/2023
Zip Code,23222,Black,22-May,22,132.5,4/8/2023
Zip Code,23222,Black,22-Jun,21,150.75,4/8/2023
Zip Code,23222,Black,22-Jul,55,126.5,4/8/2023
Zip Code,23222,Black,22-Aug,84,142,4/8/2023
Zip Code,23222,Black,22-Sep,101,117.5,4/8/2023
Zip Code,23222,Black,22-Oct,122,126.25,4/8/2023
Zip Code,23222,Black,22-Nov,62,154.75,4/8/2023
Zip Code,23222,Black,22-Dec,62,93.5,4/8/2023
Zip Code,23222,Black,23-Jan,69,147.5,4/8/2023
Zip Code,23222,Black,23-Feb,77,115.75,4/8/2023
Zip Code,23222,Black,23-Mar,51,101,4/8/2023
Zip Code,23222,Black,23-Apr,5,5.5,4/8/2023
Zip Code,23223,Black,20-Jan,136,225,4/8/2023
Zip Code,23223,Black,20-Feb,125,182.5,4/8/2023
Zip Code,23223,Black,20-Mar,68,163.25,4/8/2023
Zip Code,23223,Black,20-Apr,40,180.25,4/8/2023
Zip Code,23223,Black,20-May,35,187.25,4/8/2023
Zip Code,23223,Black,20-Jun,9,230.5,4/8/2023
Zip Code,23223,Black,20-Jul,40,227,4/8/2023
Zip Code,23223,Black,20-Aug,83,226.75,4/8/2023
Zip Code,23223,Black,20-Sep,99,231,4/8/2023
Zip Code,23223,Black,20-Oct,88,231.25,4/8/2023
Zip Code,23223,Black,20-Nov,35,168.5,4/8/2023
Zip Code,23223,Black,20-Dec,9,196.25,4/8/2023
Zip Code,23223,Black,21-Jan,16,225,4/8/2023
Zip Code,23223,Black,21-Feb,38,181.25,4/8/2023
Zip Code,23223,Black,21-Mar,42,163.25,4/8/2023
Zip Code,23223,Black,21-Apr,12,180.25,4/8/2023
Zip Code,23223,Black,21-May,28,187.25,4/8/2023
Zip Code,23223,Black,21-Jun,27,230.5,4/8/2023
Zip Code,23223,Black,21-Jul,31,227,4/8/2023
Zip Code,23223,Black,21-Aug,15,226.75,4/8/2023
Zip Code,23223,Black,21-Sep,22,231,4/8/2023
Zip Code,23223,Black,21-Oct,26,231.25,4/8/2023
Zip Code,23223,Black,21-Nov,22,168.5,4/8/2023
Zip Code,23223,Black,21-Dec,24,196.25,4/8/2023
Zip Code,23223,Black,22-Jan,60,225,4/8/2023
